run_timestamp,ckpt_path,source_csv_path,pareto_tuples,pareto_count
2025-12-30T16:49:05-05:00,/home/ya255/solp/SOL/official_results/checkpoints/AllVariantsvMax-20251210-154726/policy_latest.pt,/mnt/home/ya255/projects/SOL/allaxis_vmax_j.csv,"[[0.15, 0.4, 5.0], [0.15, 0.45, 5.0], [0.15, 0.5, 5.0], [0.2, 0.45, 5.0], [0.2, 0.5, 5.0], [0.25, 0.4, 5.0], [0.25, 0.55, 5.0], [0.3, 0.45, 5.0], [0.3, 0.5, 5.0], [0.3, 0.55, 5.0], [0.3, 0.55, 6.0], [0.3, 0.6, 5.0], [0.35, 0.6, 5.0], [0.35, 0.6, 6.0], [0.35, 0.6, 7.0], [0.35, 0.65, 7.0], [0.4, 0.55, 5.0], [0.4, 0.55, 6.0], [0.4, 0.55, 7.0], [0.4, 0.6, 6.0], [0.4, 0.65, 7.0], [0.45, 0.6, 5.0], [0.45, 0.65, 7.0], [0.45, 0.65, 8.0], [0.45, 0.7, 7.0], [0.45, 0.75, 7.0], [0.5, 0.65, 5.0], [0.5, 0.65, 6.0], [0.5, 0.7, 7.0], [0.55, 0.55, 6.0], [0.55, 0.65, 5.0], [0.55, 0.65, 8.0], [0.55, 0.7, 8.0], [0.55, 0.75, 6.0], [0.55, 0.8, 7.0], [0.55, 0.8, 8.0], [0.6, 0.6, 6.0], [0.6, 0.75, 6.0], [0.6, 0.8, 7.0], [0.6, 0.85, 8.0], [0.65, 0.65, 7.0], [0.65, 0.75, 8.0], [0.65, 0.9, 8.0], [0.7, 0.8, 7.0], [0.7, 0.85, 9.0], [0.7, 0.9, 8.0], [0.75, 0.9, 9.0], [0.75, 0.95, 9.0], [0.75, 1.0, 10.0]]",49
2025-12-30T20:24:47-05:00,/home/ya255/solp/SOL/official_results/checkpoints/AllVariantsv2-20251207-222948/policy_latest.pt,/mnt/home/ya255/projects/SOL/allaxis_v2.csv,"[[0.15, 0.6, 5.0], [0.15, 0.6, 6.0], [0.15, 0.6, 7.0], [0.15, 0.7, 5.0], [0.15, 0.7, 8.0], [0.15, 0.7, 10.0], [0.15, 0.9, 9.0], [0.15, 0.9, 10.0], [0.15, 0.9, 13.0], [0.15, 1.0, 6.0], [0.15, 1.0, 8.0], [0.15, 1.0, 10.0], [0.25, 0.6, 5.0], [0.25, 0.7, 6.0], [0.25, 0.7, 8.0], [0.25, 0.8, 7.0], [0.25, 1.0, 12.0], [0.35, 0.9, 12.0], [0.35, 0.9, 13.0], [0.35, 1.0, 12.0], [0.45, 0.9, 8.0], [0.45, 0.9, 12.0], [0.45, 0.9, 13.0], [0.45, 1.0, 13.0], [0.65, 1.0, 13.0], [0.75, 0.9, 13.0], [0.75, 1.0, 12.0], [0.75, 1.0, 13.0], [0.85, 0.9, 12.0], [0.85, 1.0, 13.0]]",30
2025-12-30T20:24:53-05:00,/home/ya255/solp/SOL/official_results/checkpoints/AllVariantsv3-20251209-164859/policy_latest.pt,/mnt/home/ya255/projects/SOL/allaxis_v3.csv,"[[0.15, 0.5, 5.0], [0.15, 0.5, 6.0], [0.15, 0.5, 7.0], [0.15, 0.6, 5.0], [0.15, 0.6, 6.0], [0.15, 0.6, 7.0], [0.15, 0.6, 8.0], [0.15, 0.7, 5.0], [0.15, 0.7, 6.0], [0.15, 0.7, 7.0], [0.15, 0.8, 6.0], [0.15, 0.8, 7.0], [0.25, 0.7, 7.0], [0.25, 0.7, 8.0], [0.25, 0.8, 6.0], [0.25, 0.8, 7.0], [0.25, 0.9, 7.0], [0.35, 0.7, 7.0], [0.35, 0.8, 8.0], [0.45, 0.7, 7.0], [0.45, 0.7, 8.0], [0.45, 0.8, 5.0], [0.45, 0.8, 7.0], [0.45, 0.8, 8.0], [0.55, 0.7, 7.0], [0.55, 0.7, 8.0], [0.55, 0.8, 5.0], [0.55, 0.8, 6.0], [0.65, 0.7, 6.0], [0.65, 0.7, 7.0], [0.65, 0.7, 8.0], [0.65, 0.8, 12.0], [0.65, 0.8, 13.0], [0.65, 1.0, 9.0], [0.75, 1.0, 12.0], [0.85, 1.0, 6.0], [0.85, 1.0, 13.0], [0.95, 1.0, 7.0], [0.95, 1.0, 8.0]]",39
