study_type,ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,dense_ppl,policy_ppl,fixed_ppl,random_ppl,drift_aware_ppl,emc_ppl,lrm_ppl,ecov_ppl,dcp_ppl,qnr_ppl,dynr_ppl,dense_keep_all,policy_keep_all,policy_keep_eff,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,random_keep_all,random_prune_keep,random_quant_ratio
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,20.0,9.572114832340604,17.789876459800645,13.24831590319316,12.69544781674504,,,,,,13.33267912954996,13.135057893844088,1.0,1.0,1.0,1.0,0.40146484375,1.0,1.0,0.4015299479166667,1.0,1.0,0.41015625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,18.0,9.572114832340604,16.954509644568514,12.85785717934318,12.69544781674504,,,,,,13.33267912954996,13.063208985937186,1.0,1.0,1.0,1.0,0.4024739583333333,1.0,1.0,0.4025065104166667,1.0,1.0,0.41015625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,16.0,9.572114832340604,16.213692799919052,12.966719904694106,12.69544781674504,,,,,,13.171773540504262,13.17016575612536,1.0,1.0,1.0,1.0,0.4057291666666666,1.0,1.0,0.40576171875,1.0,1.0,0.41015625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,14.0,9.572114832340604,16.039149094875842,12.759873174205577,12.69544781674504,,,,,,12.968619465679753,13.077994251491152,1.0,1.0,1.0,1.0,0.4108723958333333,1.0,1.0,0.4108072916666667,1.0,1.0,0.41015625
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,12.0,9.572114832340604,14.9233886081974,12.595010975859928,12.37957797085038,,,,,,12.92068806322725,12.631039367991582,1.0,1.0,1.0,1.0,0.42001953125,1.0,1.0,0.4200846354166667,1.0,1.0,0.4296875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,10.0,9.572114832340604,13.48193864392279,12.560005238588031,12.37957797085038,,,,,,13.161915551883943,12.65254110564252,1.0,1.0,1.0,1.0,0.4284505208333333,1.0,1.0,0.4283854166666667,1.0,1.0,0.4296875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,8.0,9.572114832340604,12.81231606690296,12.289838545860512,12.37957797085038,,,,,,12.839663137237242,12.524791009174926,1.0,1.0,1.0,1.0,0.4367838541666666,1.0,1.0,0.4368489583333333,1.0,1.0,0.4296875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,6.0,9.572114832340604,12.350396292758935,12.308054755831638,12.090837286154736,,,,,,12.490895263606808,12.62066167568272,1.0,1.0,1.0,1.0,0.4433919270833333,1.0,1.0,0.443359375,1.0,1.0,0.44921875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,4.0,9.572114832340604,12.082083258508144,12.2742461114047,12.090837286154736,,,,,,11.990011081040148,12.317674180708206,1.0,1.0,1.0,1.0,0.4499348958333333,1.0,1.0,0.4498697916666667,1.0,1.0,0.44921875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,2.0,9.572114832340604,11.90338622863148,12.252888667085106,12.090837286154736,,,,,,11.9438496393312,12.141518490207536,1.0,1.0,1.0,1.0,0.4555013020833333,1.0,1.0,0.45556640625,1.0,1.0,0.44921875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,0.0,9.572114832340604,11.862384126447498,12.137369266266106,11.974506695481766,,,,,,12.21286903076246,11.881030277317793,1.0,1.0,1.0,1.0,0.4611002604166667,1.0,1.0,0.4611002604166667,1.0,1.0,0.46875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-2.0,9.572114832340604,11.731818582269112,12.128680251510657,11.974506695481766,,,,,,11.995183669346067,11.823639932195965,1.0,1.0,1.0,1.0,0.46533203125,1.0,1.0,0.46533203125,1.0,1.0,0.46875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-4.0,9.572114832340604,11.736593242812177,12.18745203884135,11.974506695481766,,,,,,11.980355050283968,11.746339576674698,1.0,1.0,1.0,1.0,0.4703776041666667,1.0,1.0,0.4703776041666667,1.0,1.0,0.46875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-6.0,9.572114832340604,11.547677967715892,11.803450772689038,11.974506695481766,,,,,,11.985816091790836,11.743758877392034,1.0,1.0,1.0,1.0,0.4757486979166667,1.0,1.0,0.4757486979166667,1.0,1.0,0.46875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-8.0,9.572114832340604,11.41240042537041,11.561312420912254,11.764707578527725,,,,,,11.921223661088392,11.644405456620932,1.0,1.0,1.0,1.0,0.4806315104166667,1.0,1.0,0.4806315104166667,1.0,1.0,0.48828125
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-10.0,9.572114832340604,11.27778979214419,11.29928651357579,11.764707578527725,,,,,,11.796728716538444,11.625373781067994,1.0,1.0,1.0,1.0,0.48779296875,1.0,1.0,0.48779296875,1.0,1.0,0.48828125
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-12.0,9.572114832340604,11.396900943183518,11.516988914901235,11.764707578527725,,,,,,11.446256810255928,11.648101777317946,1.0,1.0,1.0,1.0,0.4938151041666667,1.0,1.0,0.4938151041666667,1.0,1.0,0.48828125
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-14.0,9.572114832340604,11.1712817314579,11.152660283493862,11.215461240923991,,,,,,11.38753722197126,11.533496421108891,1.0,1.0,1.0,1.0,0.4996744791666667,1.0,1.0,0.4996744791666667,1.0,1.0,0.5078125
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-16.0,9.572114832340604,11.088496317499263,10.993702305281316,11.215461240923991,,,,,,11.927143055374806,11.212084697981814,1.0,1.0,1.0,1.0,0.50732421875,1.0,1.0,0.50732421875,1.0,1.0,0.5078125
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-18.0,9.572114832340604,10.901049287161856,10.927962483838602,11.215461240923991,,,,,,11.164192835959197,10.853337715734067,1.0,1.0,1.0,1.0,0.5166015625,1.0,1.0,0.5166015625,1.0,1.0,0.5078125
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-20.0,9.572114832340604,10.711277951253734,10.742792085828013,11.091203800410367,,,,,,11.684083593909408,10.68559405554084,1.0,1.0,1.0,1.0,0.525390625,1.0,1.0,0.525390625,1.0,1.0,0.52734375
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-30.0,9.572114832340604,9.571335883337303,9.570712769774596,9.55997044390378,,,,,,9.552271421108005,9.545899147635827,1.0,1.0,1.0,1.0,0.6819661458333334,1.0,1.0,0.68203125,1.0,1.0,0.671875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-33.0,9.572114832340604,9.56284944915564,9.54760836461234,9.55818122886801,,,,,,9.54791916421402,9.54380189045014,1.0,1.0,1.0,1.0,0.7087890625,1.0,1.0,0.7087890625,1.0,1.0,0.71875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-35.0,9.572114832340604,9.55584797336175,9.555536915665016,9.547452968605402,,,,,,9.542714605169175,9.544423251945442,1.0,1.0,1.0,1.0,0.7322265625,1.0,1.0,0.7322265625,1.0,1.0,0.7421875
quantization,RL_LCE_Quant4-20251031-170428,6633,wikitext,0.0,0.0,-37.0,9.572114832340604,9.54791916421402,9.557870095220183,9.547452968605402,,,,,,9.54807456780884,9.543335895875371,1.0,1.0,1.0,1.0,0.7529296875,1.0,1.0,0.7529296875,1.0,1.0,0.7421875
