ckpt_dir,mode,dataset_name,sparsity_bias,dense_ppl,sft_teacher_ppl,policy_ppl,random_ppl,fixed_ppl,dense_keep_all,policy_keep_all,sft_teacher_keep_all,random_keep_all,fixed_keep_all,sparsity_levels_kappa_order,policy_action_probs_kappa_order
RL_DKL_Rec-20251017-155044,latest,wikitext,0.0,9.810783548925864,9.944449028675093,10.03853674996822,10.393380205916333,10.47051338970118,1.0,0.8223214307799935,0.8312500026077032,0.8000000092600074,0.800000011920929,0.200000|1.000000,0.222098|0.777902
RL_DKL_Rec-20251017-155044,latest,wikitext,4.5,9.810783548925864,10.013359995521359,10.198754704063631,10.393380205916333,10.47051338970118,1.0,0.7799107162281871,0.8017857146582433,0.8000000092600074,0.800000011920929,0.200000|1.000000,0.275112|0.724888
RL_DKL_Rec-20251017-155044,latest,wikitext,9.0,9.810783548925864,10.098937754917408,10.540863719813611,10.830422756968007,10.853867676803118,1.0,0.6388392887477364,0.6540178659238985,0.6500000152736902,0.6499999761581421,0.200000|1.000000,0.451451|0.548549
RL_DKL_Rec-20251017-155044,latest,wikitext,13.5,9.810783548925864,11.089966011917658,12.198650548240527,12.285752899533886,12.422772124124576,1.0,0.2250000030866691,0.26696429015802486,0.25000000478965895,0.25,0.200000|1.000000,0.968750|0.031250
RL_DKL_Rec-20251017-155044,latest,wikitext,18.0,9.810783548925864,11.173048163784108,12.452269578835576,12.452269578835576,12.452269578835576,1.0,0.20000000298023224,0.23437500412442855,0.20000000298023224,0.20000000298023224,0.200000|1.000000,1.000000|0.000000
RL_DKL_Rec-20251017-155044,latest,wikitext,9.5,9.810783548925864,10.106337147250997,10.741268499874781,10.927937074729181,11.042878209862018,1.0,0.5977678636887244,0.6066964361816645,0.6000000129320792,0.6000000238418579,0.200000|1.000000,0.502790|0.497210
RL_DKL_Rec-20251017-155044,latest,wikitext,10.0,9.810783548925864,10.317894761900819,10.821738331773805,11.113972772314547,11.17460701249644,1.0,0.543303581220763,0.5549107257808957,0.5500000124531133,0.550000011920929,0.200000|1.000000,0.570871|0.429129
RL_DKL_Rec-20251017-155044,latest,wikitext,10.5,9.810783548925864,10.419512451379823,11.040567581474313,11.333966810887462,11.453977545597693,1.0,0.48437501051064047,0.5035714358091354,0.5000000087810414,0.5,0.200000|1.000000,0.644531|0.355469
RL_DKL_Rec-20251017-155044,latest,wikitext,11.0,9.810783548925864,10.53351356062488,11.428439144716643,11.61408042739604,11.760003511547668,1.0,0.42142857890576124,0.4308035816731198,0.4000000074239714,0.4000000059604645,0.200000|1.000000,0.723214|0.276786
RL_DKL_Rec-20251017-155044,latest,wikitext,5.5,9.810783548925864,10.010217344248721,10.242243089391481,10.466132116291503,10.440611202065584,1.0,0.7633928579411337,0.7647321492965732,0.7500000119741473,0.75,0.200000|1.000000,0.295759|0.704241
