study_type,ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,dense_ppl,policy_ppl,fixed_ppl,random_ppl,drift_aware_ppl,emc_ppl,lrm_ppl,ecov_ppl,dcp_ppl,qnr_ppl,dynr_ppl,dense_keep_all,policy_keep_all,policy_keep_eff,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,random_keep_all,random_prune_keep,random_quant_ratio
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,12.0,0.0,0.0,9.572114832340604,10.005319103993134,10.032469900114595,9.990023190833274,10.032469900114595,10.032469900114595,10.032469900114595,,,,,1.0,0.2341666706527272,0.2341666706527272,1.0,1.0,0.2000000029802322,1.0,1.0,0.250000006519258,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,11.8,0.0,0.0,9.572114832340604,9.971341905710316,9.999132831619098,9.996041129940698,10.021617062770526,10.021617062770526,10.021617062770526,,,,,1.0,0.2533333379154404,0.2533333379154404,1.0,1.0,0.3000000119209289,1.0,1.0,0.250000006519258,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,11.6,0.0,0.0,9.572114832340604,9.9402300997706,9.999132831619098,9.996041129940698,10.021617062770526,10.011835104481884,10.02210641148806,,,,,1.0,0.2704166718448201,0.2704166718448201,1.0,1.0,0.3000000119209289,1.0,1.0,0.250000006519258,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,11.4,0.0,0.0,9.572114832340604,9.90228263226394,9.999132831619098,9.941039070683663,10.021617062770526,9.955611810422416,9.92632609949243,,,,,1.0,0.2895833383624752,0.2895833383624752,1.0,1.0,0.3000000119209289,1.0,1.0,0.3000000073264042,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,11.2,0.0,0.0,9.572114832340604,9.853889111746115,9.999132831619098,9.941039070683663,10.011509203695647,9.920107937989815,9.909134725396486,,,,,1.0,0.3066666710500916,0.3066666710500916,1.0,1.0,0.3000000119209289,1.0,1.0,0.3000000073264042,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,11.0,0.0,0.0,9.572114832340604,9.835462396557356,9.999132831619098,9.941039070683663,9.965176641382197,9.914216394883878,9.995797088946826,,,,,1.0,0.3195833378160993,0.3195833378160993,1.0,1.0,0.3000000119209289,1.0,1.0,0.3000000073264042,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,10.8,0.0,0.0,9.572114832340604,9.794725980130794,9.999132831619098,9.87235034934154,9.8911681469106,9.958204755273089,9.9403109938994,,,,,1.0,0.3325000035886963,0.3325000035886963,1.0,1.0,0.3000000119209289,1.0,1.0,0.3500000078851978,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,10.6,0.0,0.0,9.572114832340604,9.789705557117204,9.999132831619098,9.87235034934154,9.907522041743867,9.94071547441831,9.877091629673478,,,,,1.0,0.3441666685044765,0.3441666685044765,1.0,1.0,0.3000000119209289,1.0,1.0,0.3500000078851978,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,10.4,0.0,0.0,9.572114832340604,9.761225623800142,9.862232522095727,9.873876953825643,9.949375303433424,9.894871588549604,9.887466091391646,,,,,1.0,0.3545833349227905,0.3545833349227905,1.0,1.0,0.4000000059604645,1.0,1.0,0.3500000078851978,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,10.2,0.0,0.0,9.572114832340604,9.753602644395604,9.862232522095727,9.873876953825643,9.954558619442,9.87395730796896,9.971504201007406,,,,,1.0,0.3629166685044765,0.3629166685044765,1.0,1.0,0.4000000059604645,1.0,1.0,0.3500000078851978,1.0,1.0
sparsity,RL_LCE_Quest4-20251028-213126,8844,wikitext,10.0,0.0,0.0,9.572114832340604,9.765118815795836,9.862232522095727,9.873876953825643,9.955206723782371,9.89366379220218,9.978810224029813,,,,,1.0,0.3704166691750288,0.3704166691750288,1.0,1.0,0.4000000059604645,1.0,1.0,0.3500000078851978,1.0,1.0
