ckpt_dir,mode,dataset_name,sparsity_bias,prune_bias,quant_bias,policy_ppl,fixed_ppl,policy_keep_all,policy_prune_keep,policy_quant_ratio,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_levels_kappa_order,fixed_action_probs_kappa_order
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-5.0,-6.0,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-10.0,-5.0,-6.0,10.240099987096382,10.516627639037846,0.7611607156161752,0.9994419648178986,0.8507254464285714,0.75,0.9994419648178986,0.8507254464285714,0.200000|1.000000,0.000000|0.295759|0.000000|0.000000|0.002790|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.701451|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.016741|0.294643|0.000000|0.000558|0.000558|0.000000|0.000000|0.000000|0.000000|0.280692|0.405134|0.000000|0.000558|0.001116|0.000000|0.000000|0.000000,0.000000|0.016741|0.294643|0.000000|0.000558|0.000558|0.000000|0.000000|0.000000|0.000000|0.280692|0.405134|0.000000|0.000558|0.001116|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-5.0,-5.5,9.794031391798864,9.794714593039688,1.0,0.9998883929635797,0.9997209821428571,1.0,0.9998883929635797,0.9997209821428571,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.999442|0.000000|0.000558|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000558|0.998884|0.000000|0.000000|0.000558|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000558|0.998884|0.000000|0.000000|0.000558|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-5.0,-5.0,9.786178001873063,9.786860655285773,1.0,0.9995535718543189,0.9974888392857143,1.0,0.9995535718543189,0.9974888392857143,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.002790|0.994978|0.000000|0.002232|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.005022|0.992746|0.000000|0.000000|0.002232|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.005022|0.992746|0.000000|0.000000|0.002232|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,0.0,-5.0,-6.0,10.528371498944923,11.303175516025762,0.50803571646767,0.9982142868850913,0.7307477678571429,0.5,0.9982142874172756,0.7307477678571429,0.200000|1.000000,0.000000|0.529576|0.076451|0.000000|0.008929|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.385045|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.333147|0.286272|0.000000|0.003348|0.002232|0.000000|0.000000|0.000000|0.000000|0.200893|0.170759|0.000000|0.001116|0.002232|0.000000|0.000000|0.000000,0.000000|0.333147|0.286272|0.000000|0.003348|0.002232|0.000000|0.000000|0.000000|0.000000|0.200893|0.170759|0.000000|0.001116|0.002232|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-5.0,-5.0,9.786178001873063,9.786860655285773,1.0,0.9995535718543189,0.9974888392857143,1.0,0.9995535718543189,0.9974888392857143,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.002790|0.994978|0.000000|0.002232|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.005022|0.992746|0.000000|0.000000|0.002232|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.005022|0.992746|0.000000|0.000000|0.002232|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-20.0,-4.0,-7.0,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-10.0,-5.0,-5.5,10.244386640206372,10.436970440794795,0.7361607148445078,0.9997767859271595,0.8351004464285714,0.75,0.9997767859271595,0.8351004464285714,0.200000|1.000000,0.000000|0.328683|0.000000|0.000000|0.001116|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.670201|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.033482|0.277902|0.000000|0.000000|0.001116|0.000000|0.000000|0.000000|0.000000|0.296317|0.391183|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.033482|0.277902|0.000000|0.000000|0.001116|0.000000|0.000000|0.000000|0.000000|0.296317|0.391183|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,-15.0,-4.0,-7.0,9.794031391798864,9.794031391798864,1.0,1.0,1.0,1.0,1.0,1.0,0.200000|1.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|1.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
RL_LCE_Quest8_PruneQuant-20251025-164022,midtrain,wikitext,0.0,-5.0,-5.5,10.491715413557102,11.14580348536216,0.5098214306469474,0.9979910722800663,0.7106584821428571,0.5,0.997991073344435,0.7106584821428571,0.200000|1.000000,0.000000|0.568638|0.034040|0.000000|0.010045|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.387277|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000,0.000000|0.386161|0.232701|0.000000|0.004464|0.001674|0.000000|0.000000|0.000000|0.000000|0.186942|0.184152|0.000000|0.001116|0.002790|0.000000|0.000000|0.000000,0.000000|0.386161|0.232701|0.000000|0.004464|0.001674|0.000000|0.000000|0.000000|0.000000|0.186942|0.184152|0.000000|0.001116|0.002790|0.000000|0.000000|0.000000
