ckpt_dir,mode,dataset_name,sparsity_bias,dense_ppl,sft_teacher_ppl,policy_ppl,random_ppl,fixed_ppl,drift_aware_ppl,emc_ppl,dense_keep_all,policy_keep_all,sft_teacher_keep_all,random_keep_all,fixed_keep_all,drift_aware_keep_all,emc_keep_all,sparsity_levels_kappa_order,policy_action_probs_kappa_order
RL_DKL_Quest-20251022-185808,midtrain,wikitext,10.0,9.810783548925864,14.749320097034966,20.470262316798948,23.704546203515715,23.556197536981166,24.95678295868885,25.092939093230964,1.0,0.2611607188092811,0.3089285784267953,0.2500000047896589,0.25,0.2500000027939677,0.2500000026609216,0.200000|1.000000,0.923549|0.076451
RL_DKL_Quest-20251022-185808,midtrain,wikitext,9.0,9.810783548925864,14.136869918095744,19.072398544444685,22.03196645975482,21.91089095226434,25.05620876689349,24.861219803305303,1.0,0.2941964323233281,0.3258928641942994,0.3000000064660396,0.3000000119209289,0.2500000055879354,0.2500000043905207,0.200000|1.000000,0.882254|0.117746
RL_DKL_Quest-20251022-185808,midtrain,wikitext,7.0,9.810783548925864,13.133882119348838,16.949149133087698,20.67114650558293,19.932010534252413,23.734327858822017,23.41694302905364,1.0,0.3705357186762349,0.3812500089406967,0.3500000085415585,0.3500000014901161,0.3500000034858073,0.3500000068119594,0.200000|1.000000,0.786830|0.213170
RL_DKL_Quest-20251022-185808,midtrain,wikitext,4.0,9.810783548925864,13.084503243246594,14.378536979171274,17.837052622965334,17.53236408294513,22.49787271922852,20.8856537535641,1.0,0.4508928632629769,0.4575892932979123,0.4500000067055225,0.4500000029802322,0.4500000051089695,0.4500000083020755,0.200000|1.000000,0.686384|0.313616
RL_DKL_Quest-20251022-185808,midtrain,wikitext,1.0,9.810783548925864,11.966880277363416,12.798351918262318,15.46578279910266,15.45068686784781,20.14727808078182,15.98457003192981,1.0,0.5638392894927945,0.5616071512922645,0.5500000124531133,0.550000011920929,0.5500000024746571,0.55000000713127,0.200000|1.000000,0.545201|0.454799
RL_DKL_Quest-20251022-185808,midtrain,wikitext,0.0,9.810783548925864,11.784638661080912,12.399397459620635,14.825650417860848,14.592745965600905,18.842310708796308,15.833647697996872,1.0,0.6093750030600599,0.6080357210178461,0.6000000129320792,0.6000000238418579,0.6000000030866691,0.6000000080093741,0.200000|1.000000,0.488281|0.511719
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-2.0,9.810783548925864,11.519680490032217,12.152787820940064,13.852804778507023,13.90023424237789,16.871298073756645,14.641687493750856,1.0,0.6513392868052635,0.6566964333344784,0.6500000152736902,0.6499999761581421,0.6500000046300036,0.6500000135440912,0.200000|1.000000,0.435826|0.564174
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-4.0,9.810783548925864,11.137254600494744,12.059896421681955,13.773794769209282,13.90023424237789,16.57501109340618,14.212013266174315,1.0,0.6691964308598212,0.6696428629968848,0.6500000152736902,0.6499999761581421,0.6500000038317272,0.6500000124797225,0.200000|1.000000,0.413504|0.586496
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-8.0,9.810783548925864,11.227737473185265,11.79862147969884,13.114657118461968,13.245205033584815,13.853771107185684,13.329548450405154,1.0,0.7147321453584092,0.7116071486047336,0.7000000144221953,0.7000000178813934,0.7000000065724764,0.7000000087012138,0.200000|1.000000,0.356585|0.643415
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-10.0,9.810783548925864,10.540128473155397,11.375945884616652,12.408049610173062,12.162116222563812,13.069908149118522,12.992644251789333,1.0,0.7464285751006433,0.75312500713127,0.7500000119741473,0.75,0.7000000027141401,0.7000000068385687,0.200000|1.000000,0.316964|0.683036
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-13.0,9.810783548925864,11.12250378620067,10.916508968536542,11.869612761808863,11.398981343056215,11.605981912678349,11.623806104785286,1.0,0.8031250026875308,0.8053571438150746,0.8000000092600074,0.800000011920929,0.8000000011441963,0.8000000054016709,0.200000|1.000000,0.246094|0.753906
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-14.0,9.810783548925864,10.672558075634225,10.665860051191071,11.843973779654226,11.374358949293203,11.728054791232829,11.785460720908352,1.0,0.8214285754199538,0.8236607201397419,0.8000000092600074,0.800000011920929,0.8000000019424728,0.8000000064660396,0.200000|1.000000,0.223214|0.776786
RL_DKL_Quest-20251022-185808,midtrain,wikitext,-16.0,9.810783548925864,10.910038347486346,10.695661261367013,11.360086489606418,11.176166078697262,11.594653478329136,11.629483177251114,1.0,0.8495535773358175,0.8549107158822673,0.8500000020223004,0.8500000238418579,0.8000000027407493,0.8000000032729336,0.200000|1.000000,0.188058|0.811942
