ckpt_dir,mode,dataset_name,sparsity_bias,dense_ppl,sft_teacher_ppl,policy_ppl,random_ppl,fixed_ppl,drift_aware_ppl,emc_ppl,dense_keep_all,policy_keep_all,sft_teacher_keep_all,random_keep_all,fixed_keep_all,drift_aware_keep_all,emc_keep_all,sparsity_levels_kappa_order,policy_action_probs_kappa_order
RL_LCE_Rec-20251017-162206,latest,wikitext,8.0,9.810783548925864,11.089966011917658,12.36657427411351,12.285752899533886,12.422772124124576,12.452269578835576,12.452269578835576,1.0,0.22500000335276127,0.26696429015802486,0.25000000478965895,0.25,0.20000000298023224,0.20000000298023224,0.200000|1.000000,0.968750|0.031250
RL_LCE_Rec-20251017-162206,latest,wikitext,7.0,9.810783548925864,11.031329901705432,12.18759372786297,12.285752899533886,12.422772124124576,12.340722619665858,12.32781706506511,1.0,0.2607142918610147,0.27187500561454464,0.25000000478965895,0.25,0.2500000027939677,0.2500000025278756,0.200000|1.000000,0.924107|0.075893
RL_LCE_Rec-20251017-162206,latest,wikitext,6.0,9.810783548925864,10.911179943029245,11.859681417168744,12.003665405086938,11.911082962035138,12.293468196080868,12.183343773682145,1.0,0.3102678655247603,0.31651786368872437,0.3000000064660396,0.30000001192092896,0.3000000019424728,0.300000003938164,0.200000|1.000000,0.862165|0.137835
RL_LCE_Rec-20251017-162206,latest,wikitext,5.0,9.810783548925864,10.596523214267778,11.382295840290297,11.61408042739604,11.760003511547668,11.963541769845008,11.69374553794677,1.0,0.39285714977553915,0.4049107223483069,0.4000000074239714,0.4000000059604645,0.3500000052154064,0.35000000721109764,0.200000|1.000000,0.758929|0.241071
RL_LCE_Rec-20251017-162206,latest,wikitext,4.0,9.810783548925864,10.34888914812696,11.063695638624498,11.333966810887462,11.453977545597693,11.6668586936651,11.393416792840629,1.0,0.494196434771376,0.5049107242375612,0.5000000087810414,0.5,0.45000000444373917,0.4500000055081078,0.200000|1.000000,0.632254|0.367746
RL_LCE_Rec-20251017-162206,latest,wikitext,3.0,9.810783548925864,10.159347851362066,10.550426594928812,10.927937074729181,11.042878209862018,11.29135499681634,11.180064695910566,1.0,0.5933035827640977,0.6049107254615852,0.6000000129320792,0.6000000238418579,0.5500000081956387,0.5500000121870211,0.200000|1.000000,0.508371|0.491629
RL_LCE_Rec-20251017-162206,latest,wikitext,2.0,9.810783548925864,10.08345182844918,10.318974397214378,10.647276475642075,10.598001626991469,10.722553537021204,10.789327786768215,1.0,0.6794642909829106,0.7022321477000203,0.7000000144221953,0.7000000178813934,0.6500000076900635,0.6500000108831695,0.200000|1.000000,0.400670|0.599330
RL_LCE_Rec-20251017-162206,latest,wikitext,1.0,9.810783548925864,9.985111615165577,10.178144705411093,10.466132116291503,10.440611202065584,10.701631487983661,10.402809281139756,1.0,0.7406250017562083,0.7535714366074119,0.7500000119741473,0.75,0.7000000049759235,0.700000007370753,0.200000|1.000000,0.324219|0.675781
RL_LCE_Rec-20251017-162206,latest,wikitext,0.0,9.810783548925864,10.001492931490674,10.14553837799345,10.393380205916333,10.47051338970118,10.45628095294182,10.431875507803102,1.0,0.7816964257508516,0.8022321428039244,0.8000000092600074,0.800000011920929,0.7500000026609216,0.7500000062531659,0.200000|1.000000,0.272879|0.727121
RL_LCE_Rec-20251017-162206,latest,wikitext,-1.0,9.810783548925864,9.972234562534062,10.10105131403382,10.393380205916333,10.47051338970118,10.371653406911953,10.263698796425517,1.0,0.7999999982171825,0.8066964329087308,0.8000000092600074,0.800000011920929,0.8000000024746571,0.8000000051355788,0.200000|1.000000,0.250000|0.750000
RL_LCE_Rec-20251017-162206,latest,wikitext,-3.0,9.810783548925864,9.952082323671533,10.023842627075437,10.393380205916333,10.47051338970118,10.300276699754281,10.278744528592322,1.0,0.8196428573823401,0.8227678606552737,0.8000000092600074,0.800000011920929,0.8000000014102885,0.8000000072643161,0.200000|1.000000,0.225446|0.774554
