timestamp,ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,batch_size,num_trials,seeds,tgt_keep,tgt_prune,tgt_quant,quant_choices,prune_choices,Ts,Tw,keep_fracs,context_len,rollout_len,ppl_trials,keep_eff_trials,prune_keep_trials,quant_bits_trials,tokens_eff_trials,tokens_trials
2025-12-06T14:45:31.170608,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,0.6,1.0,q16,s40|s100,4,2,1.0000,1024,16,13.143964|13.547961|13.218439|13.284993|13.393859|13.098201|13.048046|13.465053|13.026220|13.192647,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.587500|0.587500|0.587500|0.587500|0.587500|0.587500|0.587500|0.587500|0.587500|0.587500,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-06T14:48:09.268373,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,0.6,1.0,q16,s30|s100,4,2,1.0000,1024,16,16.688705|16.627121|16.407065|16.375052|16.346521|16.409354|15.611021|15.967854|16.622482|16.231761,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.606250|0.606250|0.606250|0.606250|0.606250|0.606250|0.606250|0.606250|0.606250|0.606250,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-06T14:50:46.583794,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,0.6,1.0,q16,s50|s100,4,2,1.0000,1024,16,11.846453|11.865474|11.605172|11.469568|11.481175|11.605172|11.576874|11.722330|11.631106|11.509239,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.593750|0.593750|0.593750|0.593750|0.593750|0.593750|0.593750|0.593750|0.593750|0.593750,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-06T14:53:33.566515,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,0.6,1.0,q16,s40|s80,4,2,1.0000,1024,16,12.420173|12.188444|12.085160|12.191845|12.164662|12.268625|12.148550|12.219089|12.043924|12.014555,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-06T14:56:00.093743,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229,/mnt/home/ya255/projects/SOL/current_valid/nLRL_LCE_Quant-20251205-111229/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,0.6,1.0,q16,s50|s70,4,2,1.0000,1024,16,11.221474|11.217561|10.972238|11.004431|11.051355|11.305541|11.019794|10.905473|10.935944|10.904332,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000|0.600000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
