ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,target_keep_effective,target_prune_keep,target_quant_ratio,policy_ppl,policy_keep_all,policy_keep_effective_actual,policy_prune_keep_actual,policy_quant_ratio_actual,fixed_ppl,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_action_probs_kappa_order,sparsity_criteria,sparsity_bias,prune_bias,quant_bias,tgt_keep_cli,tgt_prune_keep_cli,tgt_quant_ratio_cli,tgt_quant_bits_cli,rand_num_trials,rand_seeds,rand_ppl_trials,rand_keep_all_trials,rand_keep_eff_trials,rand_prune_keep_trials,rand_quant_ratio_trials,rand_tokens_eff_trials,rand_tokens_trials
Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5343749975519521,1.0,17.29067624274419,1.0,1.0,0.5343749975519521,1.0,17.554391200416184,1.0,0.5343749885048185,1.0,1.000000,0.665179|0.334821,0.665179|0.334821,recency,0.0,0.0,0.0,,0.6,,,30,1234|1235|1236|1237|1238|1239|1240|1241|1242|1243|1244|1245|1246|1247|1248|1249|1250|1251|1252|1253|1254|1255|1256|1257|1258|1259|1260|1261|1262|1263,19.113685|18.486892|18.510118|19.064418|18.413534|18.957006|18.053606|19.107020|18.488182|18.425097|18.690463|18.288089|18.613700|19.011299|18.573494|19.246135|17.954393|19.322810|18.423812|17.876912|18.404545|18.267053|18.776708|17.613266|19.375448|18.253679|18.485603|18.163500|18.412250|17.777430,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750|0.518750,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5332589357026986,1.0,13.223972090529857,1.0,1.0,0.5332589357026986,1.0,14.097480503887132,1.0,0.5332589362348829,1.0,1.000000,0.777902|0.222098,0.777902|0.222098,recency,0.0,0.0,0.0,,0.6,,,30,1234|1235|1236|1237|1238|1239|1240|1241|1242|1243|1244|1245|1246|1247|1248|1249|1250|1251|1252|1253|1254|1255|1256|1257|1258|1259|1260|1261|1262|1263,13.988749|14.152656|13.775716|13.885698|13.645650|14.085685|13.472569|13.702880|13.542292|13.440655|13.563090|13.563090|13.853771|13.692370|13.747878|13.841214|13.656124|13.964376|13.433156|13.604782|13.939073|13.491378|13.822882|13.654219|13.606205|13.489496|13.630429|13.576342|13.672327|13.231354,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000|0.550000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
Prune_S50S100-20251206-161750,/home/ya255/SOL/checkpoints/Prune_S50S100-20251206-161750/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5739397321428571,1.0,11.387854959027337,1.0,1.0,0.5739397321428571,1.0,11.673371034380043,1.0,0.5739397321428571,1.0,1.000000,0.852121|0.147879,0.852121|0.147879,recency,0.0,0.0,0.0,,0.6,,,30,1234|1235|1236|1237|1238|1239|1240|1241|1242|1243|1244|1245|1246|1247|1248|1249|1250|1251|1252|1253|1254|1255|1256|1257|1258|1259|1260|1261|1262|1263,12.009528|11.829112|11.685591|11.722738|12.015393|11.698641|11.800268|11.895307|11.872097|11.866301|11.857200|11.880381|11.640846|11.891159|11.870441|11.834889|11.785461|11.595462|11.817566|11.850585|11.753443|11.782584|11.698641|11.823338|11.769851|11.686407|11.720694|11.853065|11.935202|11.679480,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500|0.562500,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
