timestamp,ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,batch_size,num_trials,seeds,tgt_keep,tgt_prune,tgt_quant,quant_choices,prune_choices,Ts,Tw,keep_fracs,context_len,rollout_len,ppl_trials,keep_eff_trials,prune_keep_trials,quant_bits_trials,tokens_eff_trials,tokens_trials
2025-12-07T16:45:02.134887,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,1.0,0.4375,q5|q16,s100,4,2,1.0000,1024,16,10.997524|10.936325|11.061381|10.985257|11.005966|11.013646|10.872812|11.062152|11.046730|10.951593,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:46:58.457889,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,1.0,0.4375,q6|q16,s100,4,2,1.0000,1024,16,10.066234|10.078178|10.075366|10.142708|10.108100|10.139525|10.175305|10.111273|10.168565|10.186668,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,7.250000|7.250000|7.250000|7.250000|7.250000|7.250000|7.250000|7.250000|7.250000|7.250000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:48:56.705939,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,1.0,0.4375,q5|q8,s100,4,2,1.0000,1024,16,10.305667|10.486228|10.184181|10.265489|10.249390|10.340591|10.239386|10.210856|10.304229|10.342034,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500|7.062500,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:50:54.362665,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,1.0,0.4375,q6|q8,s100,4,2,1.0000,1024,16,9.954165|9.912591|9.975017|9.933010|10.033286|9.946530|9.933703|10.066585|9.945836|10.045542,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,7.000000|7.000000|7.000000|7.000000|7.000000|7.000000|7.000000|7.000000|7.000000|7.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:52:52.249642,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,1.0,1.0,0.4375,q5|q10,s100,4,2,1.0000,1024,16,10.665860|10.691932|10.691932|10.508928|10.833067|10.715824|10.790080|10.652848|10.886852|10.682240,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,6.875000|6.875000|6.875000|6.875000|6.875000|6.875000|6.875000|6.875000|6.875000|6.875000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
