ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,target_keep_effective,target_prune_keep,target_quant_ratio,policy_ppl,policy_keep_all,policy_keep_effective_actual,policy_prune_keep_actual,policy_quant_ratio_actual,fixed_ppl,fixed_keep_all,fixed_prune_keep,fixed_quant_ratio,sparsity_levels_kappa_order,policy_action_probs_kappa_order,fixed_action_probs_kappa_order,sparsity_criteria,sparsity_bias,prune_bias,quant_bias,tgt_keep_cli,tgt_prune_keep_cli,tgt_quant_ratio_cli,tgt_quant_bits_cli
Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5343749975519521,1.0,17.29067624274419,1.0,1.0,0.5343749975519521,1.0,17.554391200416184,1.0,0.5343749885048185,1.0,1.000000,0.665179|0.334821,0.665179|0.334821,recency,0.0,0.0,0.0,,0.6,,
Prune_S40S100-20251206-161747,/home/ya255/SOL/checkpoints/Prune_S40S100-20251206-161747/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5332589357026986,1.0,13.223972090529857,1.0,1.0,0.5332589357026986,1.0,14.097480503887132,1.0,0.5332589362348829,1.0,1.000000,0.777902|0.222098,0.777902|0.222098,recency,0.0,0.0,0.0,,0.6,,
Prune_S50S100-20251206-161750,/home/ya255/SOL/checkpoints/Prune_S50S100-20251206-161750/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,7,1.0,0.5739397321428571,1.0,11.387854959027337,1.0,1.0,0.5739397321428571,1.0,11.673371034380043,1.0,0.5739397321428571,1.0,1.000000,0.852121|0.147879,0.852121|0.147879,recency,0.0,0.0,0.0,,0.6,,
