timestamp,ckpt_dir,ckpt_path,mode,dataset_name,dataset_config,split,eval_batches,batch_size,num_trials,seeds,tgt_keep,tgt_prune,tgt_quant,quant_choices,prune_choices,Ts,Tw,keep_fracs,context_len,rollout_len,ppl_trials,keep_eff_trials,prune_keep_trials,quant_bits_trials,tokens_eff_trials,tokens_trials
2025-12-07T16:44:50.798659,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,0.5,1.0,1.0,q16,s100,4,2,1.0000|0.1000,1024,16,12.349765|12.721806|12.154483|12.209717|12.429706|12.351057|12.351918|12.209717|12.172301|12.415842,0.493750|0.493750|0.493750|0.493750|0.493750|0.493750|0.493750|0.493750|0.493750|0.493750,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:46:34.323803,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,0.5,1.0,1.0,q16,s100,4,2,1.0000|0.2000,1024,16,11.396994|11.535763|11.308696|11.291355|11.428439|11.461170|11.354541|11.365635|11.377533|11.550256,0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:48:17.795956,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,0.5,1.0,1.0,q16,s100,4,2,1.0000|0.4000,1024,16,11.183185|11.081460|10.984491|11.059838|10.977597|11.099253|10.970708|11.013646|11.071416|11.023638,0.512500|0.512500|0.512500|0.512500|0.512500|0.512500|0.512500|0.512500|0.512500|0.512500,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:50:01.442771,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,0.5,1.0,1.0,q16,s100,4,2,0.6000|0.4000,1024,16,11.083006|11.130265|11.021331|11.045189|11.006734|11.026714|11.073733|11.059838|11.049042|11.090740,0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
2025-12-07T16:51:43.760813,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746,/home/ya255/SOL/checkpoints/Prune_S30S100-20251206-161746/policy_latest.pt,latest,wikitext,wikitext-2-raw-v1,validation,100,16,10,5612|5613|5614|5615|5616|5617|5618|5619|5620|5621,0.5,1.0,1.0,q16,s100,4,2,0.7000|0.3000,1024,16,11.017488|11.141917|10.929462|11.083779|11.001361|11.047501|11.088419|11.022100|11.038257|11.136478,0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000|0.500000,1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000|1.000000,16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000|16.000000,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792,1792|1792|1792|1792|1792|1792|1792|1792|1792|1792
